iter	Passed	Remaining
469	703	793
470	706	792
471	707	791
472	708	789
473	709	787
474	710	785
475	711	783
476	712	780
477	713	779
478	714	777
479	715	775
480	716	773
481	717	771
482	718	769
483	720	768
484	721	766
485	722	764
486	723	762
487	724	760
488	725	758
489	726	756
490	727	754
491	728	752
492	729	750
493	730	748
494	731	746
495	732	744
496	734	742
497	736	741
498	737	740
499	738	738
500	739	736
501	740	734
502	741	732
503	742	731
504	744	729
505	745	727
506	746	725
507	747	723
508	749	722
509	750	721
510	751	719
511	752	717
512	753	715
513	755	714
514	756	712
515	757	710
516	758	708
517	759	706
518	760	704
519	761	702
520	762	700
521	764	699
522	765	698
523	766	696
524	768	695
525	770	694
526	771	692
527	772	690
528	773	688
529	774	686
530	775	684
531	776	683
532	777	681
533	779	680
534	781	679
535	782	677
536	783	675
537	784	673
538	785	671
539	786	669
540	787	667
541	788	666
542	789	664
543	790	662
544	791	660
545	793	659
546	795	658
547	796	656
548	797	654
549	799	653
550	800	652
551	801	650
552	803	649
553	804	647
554	805	645
555	806	643
556	808	642
557	809	641
558	810	639
559	811	637
560	812	635
561	813	634
562	814	632
563	815	630
564	816	628
565	817	626
566	818	625
567	819	623
568	820	621
569	822	620
570	824	619
571	825	617
572	826	615
573	827	614
574	828	612
575	829	610
576	830	608
577	831	607
578	832	605
579	833	603
580	834	602
581	836	600
582	837	599
583	839	597
584	840	596
585	841	594
586	842	592
587	843	590
588	844	589
589	845	587
590	846	585
591	847	584
592	848	582
593	849	580
594	850	578
595	852	578
596	854	576
597	855	575
598	856	573
599	857	571
600	858	570
601	859	568
602	861	566
603	862	565
604	863	563
605	864	561
606	865	560
607	867	559
608	868	557
609	869	555
610	871	554
611	872	553
612	873	551
613	874	549
614	875	548
615	876	546
616	877	544
617	878	543
618	880	541
619	882	540
620	883	539
621	884	537
622	885	535
623	886	534
624	887	532
625	888	530
626	889	529
627	890	527
628	891	526
629	892	524
630	893	522
631	896	521
632	897	520
633	898	518
634	900	517
635	901	515
636	902	514
637	903	512
638	904	510
639	905	509
640	906	507
641	907	505
642	908	504
643	909	502
644	912	502
645	914	500
646	915	499
647	916	498
648	918	496
649	919	495
650	920	493
651	921	492
652	923	490
653	927	490
654	928	489
655	929	487
656	931	486
657	932	484
658	933	482
659	934	481
660	935	479
661	936	478
662	937	476
663	941	476
664	943	475
665	944	473
666	946	472
667	948	471
668	949	469
669	960	472
670	961	471
671	964	470
672	965	469
673	966	467
674	968	466
675	969	464
676	971	463
677	972	461
678	973	460
679	974	458
680	975	456
681	976	455
682	977	453
683	978	452
684	979	450
685	980	448
686	981	447
687	983	445
688	985	444
689	986	443
690	987	441
691	988	439
692	989	438
693	990	436
694	991	435
695	992	433
696	993	431
697	994	430
698	995	428
699	997	427
700	999	426
701	1002	425
702	1003	423
703	1005	422
704	1006	421
705	1008	419
706	1009	418
707	1011	417
708	1016	417
709	1017	415
710	1019	414
711	1020	412
712	1021	411
713	1022	409
714	1024	408
715	1025	406
716	1026	405
717	1027	403
718	1028	401
719	1030	400
720	1031	399
721	1032	397
722	1033	396
723	1034	394
724	1035	392
725	1037	391
726	1038	389
727	1039	388
728	1040	386
729	1041	385
730	1042	383
731	1044	382
732	1045	380
733	1046	379
734	1048	377
735	1049	376
736	1051	375
737	1052	373
738	1053	372
739	1054	370
740	1055	368
741	1057	367
742	1058	366
743	1060	364
744	1061	363
745	1062	361
746	1063	360
747	1064	358
748	1065	357
749	1066	355
750	1067	353
751	1068	352
752	1069	350
753	1070	349
754	1072	347
755	1073	346
756	1075	345
757	1076	343
758	1076	341
759	1077	340
760	1079	338
761	1079	337
762	1081	335
763	1082	334
764	1083	332
765	1084	331
766	1085	329
767	1086	328
768	1088	326
769	1089	325
770	1090	323
771	1091	322
772	1092	320
773	1094	319
774	1096	318
775	1097	316
776	1098	315
777	1099	313
778	1100	312
779	1102	310
780	1103	309
781	1104	307
782	1105	306
783	1106	304
784	1107	303
785	1108	301
786	1109	300
787	1110	298
788	1111	297
789	1112	295
790	1113	294
791	1114	292
792	1116	291
793	1117	290
794	1118	288
795	1120	287
796	1121	285
797	1122	284
798	1123	282
799	1124	281
800	1125	279
801	1126	278
802	1127	276
803	1128	275
804	1129	273
805	1131	272
806	1133	270
807	1134	269
808	1135	268
809	1136	266
810	1137	265
811	1138	263
812	1139	262
813	1140	260
814	1141	259
815	1142	257
816	1143	256
817	1144	254
818	1146	253
819	1147	251
820	1150	250
821	1152	249
822	1153	248
823	1154	246
824	1155	245
825	1156	243
826	1157	242
827	1158	240
828	1160	239
829	1161	237
830	1162	236
831	1163	234
832	1164	233
833	1165	232
834	1166	230
835	1167	229
836	1168	227
837	1169	226
838	1170	224
839	1171	223
840	1172	221
841	1175	220
842	1176	219
843	1178	217
844	1179	216
845	1180	214
846	1181	213
847	1182	211
848	1183	210
849	1184	208
850	1185	207
851	1186	206
852	1187	204
853	1189	203
854	1191	202
855	1192	200
856	1193	199
857	1194	197
858	1195	196
859	1196	194
860	1197	193
861	1198	191
862	1199	190
863	1200	188
864	1201	187
865	1202	186
866	1205	184
867	1206	183
868	1207	182
869	1208	180
870	1209	179
871	1210	177
872	1211	176
873	1212	174
874	1213	173
875	1214	171
876	1215	170
877	1216	169
878	1218	167
879	1221	166
880	1222	165
881	1223	163
882	1225	162
883	1226	160
884	1227	159
885	1228	158
886	1229	156
887	1230	155
888	1231	153
889	1234	152
890	1235	151
891	1236	149
892	1238	148
893	1239	147
894	1240	145
895	1242	144
896	1243	142
897	1244	141
898	1245	139
899	1246	138
900	1248	137
901	1250	135
902	1251	134
903	1252	133
904	1253	131
905	1254	130
906	1255	128
907	1256	127
908	1258	125
909	1259	124
910	1260	123
911	1261	121
912	1263	120
913	1264	119
914	1266	117
915	1267	116
916	1268	114
917	1269	113
918	1270	111
919	1271	110
920	1272	109
921	1273	107
922	1274	106
923	1275	104
924	1276	103
925	1278	102
926	1280	100
927	1281	99
928	1282	98
929	1283	96
930	1284	95
931	1285	93
932	1286	92
933	1287	90
934	1288	89
935	1289	88
936	1290	86
937	1292	85
938	1294	84
939	1295	82
940	1296	81
941	1297	79
942	1298	78
943	1299	77
944	1300	75
945	1301	74
946	1302	72
947	1303	71
948	1304	70
949	1305	68
950	1307	67
951	1308	65
952	1309	64
953	1310	63
954	1311	61
955	1312	60
956	1313	59
957	1314	57
958	1315	56
959	1318	54
960	1319	53
961	1322	52
962	1324	50
963	1326	49
964	1328	48
965	1330	46
966	1331	45
967	1332	44
968	1333	42
969	1334	41
970	1336	39
971	1337	38
972	1338	37
973	1339	35
974	1341	34
975	1342	33
976	1343	31
977	1346	30
978	1348	28
979	1349	27
980	1352	26
981	1353	24
982	1354	23
983	1355	22
984	1356	20
985	1358	19
986	1359	17
987	1360	16
988	1361	15
989	1362	13
990	1363	12
991	1364	11
992	1366	9
993	1367	8
994	1368	6
995	1369	5
996	1370	4
997	1371	2
998	1372	1
999	1373	0
